run_index,trial_index,count,planned_qubits,platform,platform_runtime_label,algorithm,backend_type,backend_name,is_fallback,included_in_analysis,success,error,execution_time_s,throughput_numbers_per_s,peak_memory_mb,qpu_qubits,time_per_item_s
5,1,1024,10,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.05570008297218e-05,25248415.293311622,330.57421875,,3.9606446122775196e-08
5,1,1024,10,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.8485999791882932e-05,35947483.23672277,330.57421875,,2.7818359171760676e-08
5,1,1024,10,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1292608650001057,7921.9646255590405,330.60546875,10,0.00012623131347666572
5,2,1024,10,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.2330999349360354e-05,24190310.073921587,330.60546875,,4.133886655210972e-08
5,2,1024,10,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.8355998438200913e-05,36112288.63027717,330.60546875,,2.769140472480558e-08
5,2,1024,10,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12975784999980533,7891.622741911462,330.60546875,10,0.0001267166503904349
5,3,1024,10,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.6066999857430346e-05,22228493.3503182,330.60546875,,4.498730454827182e-08
5,3,1024,10,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.8123000447521918e-05,36411477.57014066,330.60546875,,2.7463867624533123e-08
5,3,1024,10,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12862698000026285,7961.004759638355,330.60546875,10,0.0001256122851565067
5,4,1024,10,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.1638000766397454e-05,24592919.476248838,330.60546875,,4.0662110123435014e-08
5,4,1024,10,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.8454000130295753e-05,35987910.14658495,330.60546875,,2.7787109502241947e-08
5,4,1024,10,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12540943000021798,8165.255196504921,330.60546875,10,0.00012247014648458787
5,5,1024,10,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.069399983563926e-05,25163414.855651386,330.60546875,,3.9740234214491466e-08
5,5,1024,10,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,3.205800021532923e-05,31942104.720254887,330.60546875,,3.130664083528245e-08
5,5,1024,10,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12932123000064166,7918.2667841538405,330.60546875,10,0.00012629026367250162
